ruta,provincia,tipo,licencia,costo_dop,horario,dias,vehiculos,origen,destino,federacion,actualizado
M-39,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,36,N/A,N/A,ASOCIACIÓN DE PROPIETARIOS DE GUAGUA DE CANCINO ADENTRO (ASOPROGUACADE),18/7/2025
M-40A,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,13,N/A,N/A,SINDICATO DE CHOFERES Y COBRADORES DE LOS MINA (SICHOCOLOSMINA),18/7/2025
M-40E,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,25,N/A,N/A,SINDICATO DE CHOFERES Y COBRADORES DE LOS MINA (SICHOCOLOSMINA),18/7/2025
M-45,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,44,N/A,N/A,TRANSPORTE DE JESUS CRUZ (DE JESUS CRUZ),18/7/2025
M-50,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,62,N/A,N/A,UNIÓN DE TRANSPORTISTAS DEL DISTRITO NACIONAL (UNITRAPODINA),18/7/2025
M-51A,SANTO DOMINGO,MICROBUS,Urbano,50,5:30 a.m. a 10:30 p.m.,7,54,N/A,N/A,SINDICATO DE CHOFERES SOCIAL CRISTIANO (SICHOSOCRIS),18/7/2025
M-52B,SANTO DOMINGO,MICROBUS,Urbano,50,5:30 a.m. a 10:30 p.m.,7,43,N/A,N/A,SINDICATO DE CHOFERES SOCIAL CRISTIANO (SICHOSOCRIS),18/7/2025
M-52C,SANTO DOMINGO,MICROBUS,Urbano,50,5:30 a.m. a 10:30 p.m.,7,38,N/A,N/A,SINDICATO DE CHOFERES SOCIAL CRISTIANO (SICHOSOCRIS),18/7/2025
M-53,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,52,N/A,N/A,TRANSPORTE MARRERO S.A. (MARRERO),18/7/2025
M-54,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,22,N/A,N/A,RUTA 54 (RUTA 54),18/7/2025
M-56,SANTO DOMINGO,MICROBUS,Urbano,100,5:30 a.m. a 10:30 p.m.,7,25,N/A,N/A,"COMPAÑIA DE TRANSPORTE LAS AMERICAS, SIUCHOLA SRL (SIUCHOLA)",18/7/2025
M-5A,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,107,N/A,N/A,COOPERATIVA DE TRANSPORTE Y SERVICIOS MÚLTIPLES INDEPENDENCIA (COOTRASMIND),18/7/2025
M-63,SANTO DOMINGO,MICROBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,20,N/A,N/A,"COMPAÑIA DE TRANSPORTE LOM ,S.R.L. (TRANSPORTE LOM)",18/7/2025
M-64,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,29,N/A,N/A,TRANSPORTE A. CRUZ & ASOCIADOS (RUTA 64),18/7/2025
M-6A,SANTO DOMINGO,MICROBUS,Urbano,35,5:30 a.m. a 10:30 p.m.,7,56,N/A,N/A,UNIÓN DE PROPIETARIOS Y CHOFERES LOS GUARICANOS (UPCG),18/7/2025
M-9-12,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,62,N/A,N/A,ASOCIACIÓN DE PROPIETARIOS DE MINIBUSES DE HERRERA (ASOPROMIHE),18/7/2025
M-90,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,38,N/A,N/A,"SITRANSPALCHAVI M-90,SRL (SITRANSPALCHAVI)",18/7/2025
M-94,SANTO DOMINGO,MICROBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,54,N/A,N/A,"EMPRESAS DE MINIBUSES DE LA JACOBO MAJLUTA-KM.13, ASOPROMIJA,SRL (ASOPROMIJA)",18/7/2025
N/A,SANTO DOMINGO,MICROBUS,Urbano,35,6:00 a.m.a 6:00 p.m.,7,22,N/A,N/A,SINDICATO DE CHOFERES JUAN TOMAS- VILLA MELLA (SICHOVIJOTA),18/7/2025
N/A,SANTO DOMINGO,MICROBUS,Urbano,35,6:00 a.m. a 9:00 p.m.,7,55,N/A,N/A,COMPAÑIA DE TRANSPORTE URBANO DEL MUNICIPIO DE BOCA CHICA COTRAUMUBOCH.S.R.L. (COTRAUMUBOCH A),18/7/2025
N/A,SANTO DOMINGO,MICROBUS,Urbano,35,6:00 a.m. a 9:00 p.m.,7,58,N/A,N/A,COMPAÑIA DE TRANSPORTE URBANO DEL MUNICIPIO DE BOCA CHICA COTRAUMUBOCH.S.R.L. (COTRAUMUBOCH B),18/7/2025
N/A,SANTO DOMINGO,MICROBUS,Urbano,35,6:00 a.m. a 7:00 p.m.,7,20,N/A,N/A,COMPAÑIA DE TRANSPORTE ASOPROCAME S.R.L. (ASOPROCAME),18/7/2025
SICHOBOCHZA,SANTO DOMINGO,MICROBUS,Interurbano,100,06:00AM / 10:00PM,7,41,BOCA CHICA,BATEY VICTORINA,MOCHOTRAN,18/7/2025
ADUCHOTORO,SANTO DOMINGO,MINIBUS,Interurbano,75,06:00AM / 10:00PM,7,20,EL TORO-CRUCE DE BOCA CHICA,SANTO DOMINGO,FENATRANO,18/7/2025
ASOCHOMBCA,SANTO DOMINGO,MINIBUS,Interurbano,100,05:30AM / 10:00PM,7,66,BOCA CHICA,SANTO DOMINGO,UNET,18/7/2025
ASOPROGCHOCO,DISTRITO NACIONAL,MINIBUS,Interurbano,500,06:00AM / 06:00PM,7,33,DISTRITO NACIONAL,ELIAS PIÑA,FENATRANO,18/7/2025
ASOTOURSD,DISTRITO NACIONAL,MINIBUS,Interurbano,700,N/A,7,3,DISTRITO NACIONAL,JIMANI (FRONTERA CON HAITI),NO AFILIADO-S,18/7/2025
"LINEA DE TRANSPORTE JAPONES
LINEA CIBAO
SR. RAMON E. QUEZADA",DISTRITO NACIONAL,MINIBUS,Interurbano,450,05:00AM / 05:00PM,7,3,DISTRITO NACIONAL,CONSTANZA,NO AFILIADO-S,18/7/2025
"LINEA DE TRANSPORTE JAPONES
LINEA CIBAO
SR. RAMON E. QUEZADA",DISTRITO NACIONAL,MINIBUS,Interurbano,500,N/A,7,1,DISTRITO NACIONAL,RIO SAN JUAN,NO AFILIADO-S,18/7/2025
"LINEA DE TRANSPORTE JAPONES
LINEA CIBAO
SR. RAMON E. QUEZADA",DISTRITO NACIONAL,MINIBUS,Interurbano,350,04:30am / 12:30pm,7,2,DISTRITO NACIONAL,GASPAR HERNANDEZ,NO AFILIADO-S,18/7/2025
"LINEA DE TRANSPORTE JAPONES
LINEA CIBAO
SR. RAMON E. QUEZADA",DISTRITO NACIONAL,MINIBUS,Interurbano,500,07:00AM / 08:00PM,7,2,DISTRITO NACIONAL,SAN JOSE DE LAS MATAS,NO AFILIADO-S,18/7/2025
"LINEA DE TRANSPORTE JAPONES 
LINEA CIBAO
SR. EVARISTO ANTONIO VENTURA",DISTRITO NACIONAL,MINIBUS,Interurbano,300,N/A,7,1,DISTRITO NACIONAL,MOCA,NO AFILIADO-S,18/7/2025
"LINEA GLADYS 
MANUEL TAVAREZ SANTOS",DISTRITO NACIONAL,MINIBUS,Interurbano,0,INACTIVA,7,3,DISTRITO NACIONAL,TENARES,CONATRA,18/7/2025
"LINEA GLADYS 
SR. FELIPE ANTONIO MONEGRA",DISTRITO NACIONAL,MINIBUS,Interurbano,300,N/A,7,1,DISTRITO NACIONAL,MOCA,NO AFILIADO-S,18/7/2025
"LINEA GLADYS 
SR. JOSE A. SEVERINO N.",DISTRITO NACIONAL,MINIBUS,Interurbano,0,INACTIVA,7,1,DISTRITO NACIONAL,VILLA VASQUEZ,CONATRA,18/7/2025
M-1,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,115,N/A,N/A,SINDICATO DE TRANSPORTE URBANO (SITRAUR),18/7/2025
M-100B,SANTO DOMINGO,MINIBUS,Urbano,50,5:30 a.m. a 10:30 p.m.,7,70,N/A,N/A,EXPRESO RUTA 100 (EXPRESO RUTA 100),18/7/2025
M-101A,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,8,N/A,N/A,ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA),18/7/2025
M-101B,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,27,N/A,N/A,ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA),18/7/2025
M-101C,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,122,N/A,N/A,ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA),18/7/2025
M-101D,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,5,N/A,N/A,ASOCIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA),18/7/2025
M-102,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,33,N/A,N/A,ASOCIACIÓN DE CHOFERES DE SAN LUIS (ASOCHOSAL),18/7/2025
M-103,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,18,N/A,N/A,"SICHOMIL 103 LA VICTORIA, S.R.L. (RUTA 103)",18/7/2025
M-104,SANTO DOMINGO,MINIBUS,Urbano,100,5:30 a.m. a 10:30 p.m.,7,13,N/A,N/A,ASOCIACIÓN DE CHOFERES DUEÑOS DE CARROS Y MINIBUSES INC (ASOCHOCAMPOLINDO),18/7/2025
M-10B,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,24,N/A,N/A,"COMPAÑIA DE TRANSPORTE VICTOR HUGO,SRL ()",18/7/2025
M-13,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,59,N/A,N/A,"PEREZ SANCHEZ & ASOCIADOS, SERVICIOS DE TRANSPORTES Y AFINES, SRL ()",18/7/2025
M-15,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,34,N/A,N/A,"SERVICIO DE TRANSPORTE NUEVO RENACER, SRL ()",18/7/2025
M-16C,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,31,N/A,N/A,RUTA 16C (16C),18/7/2025
M-23,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,50,N/A,N/A,TRANSPORTE EXPRESO ALCARRIZOS 23 (TRANSALCA),18/7/2025
M-24-2 (Inactiva),SANTO DOMINGO,MINIBUS,Urbano,,5:30 a.m. a 10:30 p.m.,7,69,N/A,N/A,SINDICATO DE CHOFERES DE VEHÍCULOS PÚBLICOS (SICHOVEPO),18/7/2025
M-27,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,30,N/A,N/A,"COMPAÑIA DE TRANSPORTE ASOPROCAESA,SRL (ASOPROCAESA)",18/7/2025
M-27A,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,25,N/A,N/A,ASOCIACIÓN DE CHOFERES DE LOS ALCARRIZOS (ASOCHODELA),18/7/2025
M-27B,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,56,N/A,N/A,SINDICATO DE CHOFERES Y COBRADORES DE LOS ALCARRIZOS (SICHOCODELA),18/7/2025
M-2E,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,67,N/A,N/A,ASOCIACIÓN DE CHOFERES DE VILLA MELLA (ASOCHOVIM 002E(RM)),18/7/2025
M-36B,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,31,N/A,N/A,COOPERATIVA TRANSPORTE SERVICIOS MÚLTIPLES LOS GUARICANOS (SICHOCOTRAGU),18/7/2025
M-4,SANTO DOMINGO,MINIBUS,Urbano,35,5:30 a.m. a 10:30 p.m.,7,10,N/A,N/A,CORREDOR RUTA-4 (CORREDOR RUTA-4),18/7/2025
M-40B,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,71,N/A,N/A,SINDICATO DE CHOFERES Y COBRADORES DE LOS MINA (SICHOCOLOSMINA),18/7/2025
M-41A,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,19,N/A,N/A,"COOPERATIVA DE AHORRO, CRÉDITO, SERVICIOS MÚLTIPLES TRANSPORTE (COOPMIBARRIO)",18/7/2025
M-44,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,19,N/A,N/A,SINDICATO DE CHOFERES DE LOS TRES BRAZOS (SICHOBRAZO),18/7/2025
M-47,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,25,N/A,N/A,SINDICATO DE CHOFERES Y COBRADORES DE BUENOS AIRES (SICHOCOBA),18/7/2025
M-52,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,33,N/A,N/A,SINDICATO DE CHOFERES DE MINIBUSES LOS RÍOS MERCADO NUEVO Y ZONA ALEDAÑAS (SINCHOMIRIM),18/7/2025
M-59A,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,6,N/A,N/A,UNIÓN DE CHOFERES INDEPENDIENTES DE SABANA PERDIDA (UCHOINDSAP),18/7/2025
M-59B,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,27,N/A,N/A,UNIÓN DE CHOFERES INDEPENDIENTES DE SABANA PERDIDA (UCHOINDSAP),18/7/2025
M-5B,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,28,N/A,N/A,UNIÓN DE CHOFERES DE LOS MAMEYES (UNICHOMEYES),18/7/2025
M-66A,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,19,N/A,N/A,TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066A),18/7/2025
M-66B,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,17,N/A,N/A,TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066B),18/7/2025
M-66C,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,16,N/A,N/A,TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066C),18/7/2025
M-66D,SANTO DOMINGO,MINIBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,16,N/A,N/A,TRANSPORTE DE PASAJEROS DE QUITA SUEÑO CXA (QUITA SUEÑO 066D),18/7/2025
M-6B,SANTO DOMINGO,MINIBUS,Urbano,35,5:30 a.m. a 10:30 p.m.,7,36,N/A,N/A,UNIÓN DE PROPIETARIOS Y CHOFERES LOS GUARICANOS (UPCG.),18/7/2025
M-7,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,35,N/A,N/A,ASOCIACIÓN DE PROPIETARIOS DE MINIBUSES KM. 9-UASD (ASOPROMIUASD),18/7/2025
M-8A,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,29,N/A,N/A,SINDICATO DE CHOFERES DE CRISTO REY (SICHOCRIFE),18/7/2025
M-96A,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,5,N/A,N/A,"COMPAÑIA DE TRANSPORTE COMTRASTAR,SRL (COMTRASTAR)",18/7/2025
M-96B,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,11,N/A,N/A,ASOCIACIÓN DE CHOFERES PROPIETARIOS DE MINIBUSES RIVERAS DEL OZAMA (ASOPROMIRO),18/7/2025
M-98,SANTO DOMINGO,MINIBUS,Urbano,100,5:30 a.m. a 10:30 p.m.,7,20,N/A,N/A,ASOCIACIÓN DE CHOFERES DUEÑOS DE CARROS Y MINIBUSES INC. (ASOCHOCAMPOLINDO),18/7/2025
M-99,SANTO DOMINGO,MINIBUS,Urbano,40,5:30 a.m. a 10:30 p.m.,7,26,N/A,N/A,SINDICATO DE CHOFERES Y COBRADORES DEL ALMIRANTE (SICHOCOAL),18/7/2025
MARIA MAGDALENA SIME BAEZ,DISTRITO NACIONAL,MINIBUS,Interurbano,500,05:00AM / 01:00PM,7,2,DISTRITO NACIONAL,GASPAR HERNANDEZ,NO AFILIADO-S,18/7/2025
N/A,SANTO DOMINGO,MINIBUS,Urbano,50,5:00 a.m. a 7:00 p.m.,7,24,N/A,N/A,FREEWI COMPAÑIA DE PROPIETARIOS DE TRANSPORTE DE PASAJEROS(COMPROTRANUNION (COMPROTRANUNION),18/7/2025
SICHOBOCHZA,SANTO DOMINGO,MINIBUS,Interurbano,100,06:00AM / 10:00PM,7,8,BOCA CHICA,LOS LLANOS,MOCHOTRAN,18/7/2025
SICHOG,SANTO DOMINGO,MINIBUS,Interurbano,75,05:30AM / 10:00PM,7,55,SANTO DOMINGO,GUERRA,FENATRANO,18/7/2025
SICHOPROBOCH S.R.L.,SANTO DOMINGO,MINIBUS,Interurbano,100,05:30AM / 10:00PM,7,66,BOCA CHICA,SANTO DOMINGO,UNET,18/7/2025
TRANSPORTE BEJARAN,DISTRITO NACIONAL,MINIBUS,Interurbano,400,N/A,7,1,DISTRITO NACIONAL,ESPERANZA,NO AFILIADO-S,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,MINIBUS,Interurbano,300,06:00AM / 06:00PM,7,12,DISTRITO NACIONAL,MOCA,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,MINIBUS,Interurbano,400,06:00AM / 06:00PM,7,8,DISTRITO NACIONAL,NAGUA,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,MINIBUS,Interurbano,400,N/A,7,12,DISTRITO NACIONAL,NAGUA (AUTOVIA),CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,MINIBUS,Interurbano,300,05:00AM / 08:00PM,7,13,DISTRITO NACIONAL,COTUI,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,MINIBUS,Interurbano,300,06:30AM / 07:00PM,7,19,DISTRITO NACIONAL,SAN FRANCISCO DE MACORIS,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,MINIBUS,Interurbano,300,N/A,7,9,DISTRITO NACIONAL,SALCEDO,CONATRA,18/7/2025
